call_id,is_precursor,is_recall,precursor_call_id,hours_from_first_call
2128771,N,N,,
1699536,N,N,,
1997460,N,N,,
2000892,N,N,,
1283848,N,N,,
1293882,N,N,,
2108289,N,N,,
233599,N,N,,
2130436,N,N,,
2107226,N,N,,
1733508,Y,N,,
1733893,N,Y,1733508,0:06:57
682207,N,N,,
2086060,N,N,,
8915,N,N,,
1962218,N,N,,
583876,N,N,,
1060060,N,N,,
832957,N,N,,
361456,N,N,,
1817991,N,N,,
2080837,N,N,,
430174,N,N,,
2075371,N,N,,
2241295,N,N,,
1022655,N,N,,
510011,N,N,,
1786071,N,N,,
1699280,N,N,,
1449597,N,N,,
309133,N,N,,
2116892,N,N,,
1017378,N,N,,
970150,N,N,,
1996408,N,N,,
1929237,N,N,,
202731,N,N,,
1041170,N,N,,
1768694,N,N,,
2230245,Y,N,,
2231014,N,Y,2230245,0:11:15
1823953,N,N,,
651527,N,N,,
1829982,N,N,,
366931,N,N,,
195613,N,N,,
439312,N,N,,
2114545,N,N,,
1099953,N,N,,
2230823,N,N,,
78269,N,N,,
368124,N,N,,
1939060,N,N,,
1481635,N,N,,
1905256,N,N,,
487749,N,N,,
2108292,N,N,,
912093,N,N,,
1178632,N,N,,
591637,N,N,,
1586513,N,N,,
1081263,N,N,,
250493,N,N,,
101805,N,N,,
650377,Y,N,,
650560,N,Y,650377,0:03:11
677225,N,Y,650377,23:04:51
47576,N,N,,
503247,N,N,,
652263,N,N,,
1536232,Y,N,,
1536452,N,Y,1536232,0:05:33
1785256,N,N,,
2042706,N,N,,
1654749,N,N,,
1694935,N,N,,
2127479,N,N,,
1446813,N,N,,
250471,N,N,,
1318926,N,N,,
491785,N,N,,
1839914,N,N,,
1327215,N,N,,
1979165,N,N,,
353931,N,N,,
1009837,N,N,,
952109,N,N,,
1170380,N,N,,
772795,N,N,,
1743304,N,N,,
1464190,N,N,,
893148,N,N,,
1119670,N,N,,
1018442,N,N,,
